colno,verb id,tense id,aux id,person no,person,conjugation,stem,end,irregularS,irregularE,specialCalc,specialCase
1,2,1,2,1S,J',ai,ai,,1,,0,
2,2,1,2,2S,Tu,as,as,,1,,0,
3,2,1,2,3S,Il,a,a,,1,,0,
4,2,1,2,3P,Ils,ont,ont,,1,,0,
5,2,1,2,1P,Nous,avons,av,ons,,0,0,
6,2,1,2,2P,Vous,avez,av,ez,,,0,
14,2,3,2,1S,J',avais,av,ais,,,0,
15,2,3,2,2S,Tu,avais,av,ais,,,0,
16,2,3,2,3S,Il,avait,av,ait,,,0,
17,2,3,2,3P,Ils,avaient,av,aient,,,0,
18,2,3,2,1P,Nous,avions,av,ions,,,0,
19,2,3,2,2P,Vous,aviez,av,iez,,,0,
20,2,4,2,1S,J',eus,e,us,1,,0,
21,2,4,2,2S,Tu,eus,e,us,1,,0,
22,2,4,2,3S,Il,eut,e,ut,1,,0,
23,2,4,2,3P,Ils,eurent,e,urent,1,,0,
24,2,4,2,1P,Nous,eûmes,e,ûmes,1,,0,
25,2,4,2,2P,Vous,eûtes,e,ûtes,1,,0,
8,2,2,2,1S,J',aurai,aur,ai,1,0,0,
9,2,2,2,2S,Tu,auras,aur,as,1,,0,
10,2,2,2,3S,Il,aura,aur,a,1,,0,
11,2,2,2,3P,Ils,auront,aur,ont,1,,0,
12,2,2,2,1P,Nous,aurons,aur,ons,1,,0,
13,2,2,2,2P,Vous,aurez,aur,ez,1,,0,
38,2,7,2,1S,J',aurais,aur,ais,1,,0,
39,2,7,2,2S,Tu,aurais,aur,ais,1,,0,
40,2,7,2,3S,Il,aurait,aur,ait,1,,0,
41,2,7,2,3P,Ils,auraient,aur,aient,1,,0,
42,2,7,2,1P,Nous,aurions,aur,ions,1,,0,
43,2,7,2,2P,Vous,auriez,aur,iez,1,,0,
47,2,9,2,,,ayant,ay,ant,1,,0,
48,2,10,2,,,eu(s),eu,(s),1,,0,
49,2,10,2,,,eue(s),eu,e(s),1,,0,
26,2,5,2,1S,J',aie,ai,e,1,,0,
27,2,5,2,2S,Tu,aies,ai,es,1,,0,
28,2,5,2,3S,Il,ait,ai,t,1,1,0,
29,2,5,2,3P,Ils,aient,ai,ent,1,,0,
30,2,5,2,1P,Nous,ayons,ay,ons,1,1,0,
31,2,5,2,2P,Vous,ayez,ay,ez,1,1,0,
32,2,6,2,1S,J',eusse,e,usse,,,0,
33,2,6,2,2S,Tu,eusses,e,usses,,,0,
34,2,6,2,3S,Il,eût,e,ût,,,0,
35,2,6,2,3P,Ils,eussent,e,ussent,,,0,
36,2,6,2,1P,Nous,eussions,e,ussions,,,0,
37,2,6,2,2P,Vous,eussiez,e,ussiez,,,0,
7,2,1,2,,,en ayant eu,en, ayant eu,,,0,
102,3,1,2,1S,Je,suis,suis,,1,,0,
103,3,1,2,2S,Tu,es,es,,1,,0,
104,3,1,2,3S,Il,est,est,,1,,0,
105,3,1,2,3P,Ils,sont,s,ont,1,1,0,
106,3,1,2,1P,Nous,sommes,somm,es,1,1,0,
107,3,1,2,2P,Vous,êtes,êt,es,0,1,0,
114,3,3,2,1S,J',étais,ét,ais,1,,0,
115,3,3,2,2S,Tu,étais,ét,ais,1,,0,
116,3,3,2,3S,Il,était,ét,ait,1,,0,
117,3,3,2,3P,Ils,étaient,ét,aient,1,,0,
118,3,3,2,1P,Nous,étions,ét,ions,1,,0,
119,3,3,2,2P,Vous,étiez,ét,iez,1,,0,
120,3,4,2,1S,Je,fus,f,us,1,,0,
121,3,4,2,2S,Tu,fus,f,us,1,,0,
122,3,4,2,3S,Il,fut,f,ut,1,,0,
123,3,4,2,3P,Ils,furent,f,urent,1,,0,
124,3,4,2,1P,Nous,fûmes,f,ûmes,1,,0,
125,3,4,2,2P,Vous,fûtes,f,ûtes,1,,0,
108,3,2,2,1S,Je,serai,ser,ai,1,,0,
109,3,2,2,2S,Tu,seras,ser,as,1,,0,
110,3,2,2,3S,Il,sera,ser,a,1,,0,
111,3,2,2,3P,Ils,seront,ser,ont,1,,0,
112,3,2,2,1P,Nous,serons,ser,ons,1,,0,
113,3,2,2,2P,Vous,serez,ser,ez,1,,0,
138,3,7,2,1S,Je,serais,ser,ais,1,,0,
139,3,7,2,2S,Tu,serais,ser,ais,1,,0,
140,3,7,2,3S,Il,serait,ser,ait,1,,0,
141,3,7,2,3P,Ils,seraient,ser,aient,1,,0,
142,3,7,2,1P,Nous,serions,ser,ions,1,,0,
143,3,7,2,2P,Vous,seriez,ser,iez,1,,0,
147,3,9,2,,,étant,ét,ant,1,,0,
148,3,10,2,,,été,ét,é,1,1,0,
126,3,5,2,1S,Je,sois,soi,s,1,1,0,
127,3,5,2,2S,Tu,sois,soi,s,1,1,0,
128,3,5,2,3S,Il,soit,soi,t,1,1,0,
129,3,5,2,3P,Ils,soient,soi,ent,1,,0,
130,3,5,2,1P,Nous,soyons,soy,ons,1,1,0,
131,3,5,2,2P,Vous,soyez,soy,ez,1,1,0,
132,3,6,2,1S,Je,fusse,f,usse,,,0,
133,3,6,2,2S,Tu,fusses,f,usses,,,0,
134,3,6,2,3S,Il,fût,f,ût,,,0,
135,3,6,2,3P,Ils,fussent,f,ussent,,,0,
136,3,6,2,1P,Nous,fussions,f,ussions,,,0,
137,3,6,2,2P,Vous,fussiez,f,ussiez,,,0,
203,4,1,3,1S,Je,me regarde,me regard,e,,,0,
204,4,1,3,2S,Tu,te regardes,te regard,es,,,0,
205,4,1,3,3S,Il,se regarde,se regard,e,,,0,
206,4,1,3,3P,Ils,se regardent,se regard,ent,,,0,
207,4,1,3,1P,Nous,nous regardons,nous regard,ons,,,0,
208,4,1,3,2P,Vous,vous regardez,vous regard,ez,,,0,
216,4,3,3,1S,Je,me regardais,me regard,ais,,,0,
217,4,3,3,2S,Tu,te regardais,te regard,ais,,,0,
218,4,3,3,3S,Il,se regardait,se regard,ait,,,0,
219,4,3,3,3P,Ils,se regardaient,se regard,aient,,,0,
220,4,3,3,1P,Nous,nous regardions,nous regard,ions,,,0,
221,4,3,3,2P,Vous,vous regardiez,vous regard,iez,,,0,
222,4,4,3,1S,Je,me regardai,me regard,ai,,,0,
223,4,4,3,2S,Tu,te regardas,te regard,as,,,0,
224,4,4,3,3S,Il,se regarda,se regard,a,,,0,
225,4,4,3,3P,Ils,se regardèrent,se regard,èrent,,,0,
226,4,4,3,1P,Nous,nous regardâmes,nous regard,âmes,,,0,
227,4,4,3,2P,Vous,vous regardâtes,vous regard,âtes,,,0,
210,4,2,3,1S,Je,me regarderai,me regarder,ai,,,0,
211,4,2,3,2S,Tu,te regarderas,te regarder,as,,,0,
212,4,2,3,3S,Il,se regardera,se regarder,a,,,0,
213,4,2,3,3P,Ils,se regarderont,se regarder,ont,,,0,
214,4,2,3,1P,Nous,nous regarderons,nous regarder,ons,,,0,
215,4,2,3,2P,Vous,vous regarderez,vous regarder,ez,,,0,
240,4,7,3,1S,Je,me regarderais,me regarder,ais,,,0,
241,4,7,3,2S,Tu,te regarderais,te regarder,ais,,,0,
242,4,7,3,3S,Il,se regarderait,se regarder,ait,,,0,
243,4,7,3,3P,Ils,se regarderaient,se regarder,aient,,,0,
